,Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
1577,Sonic Advance 2,2003,DimpsCorporation,Action;Platformer;2D,GameBoyAdvance,83,8.2,4-Jan
1578,Rayman 3,2003,Ubisoft,Action;Platformer;2D,GameBoyAdvance,83,7.5,4-Jan
1579,Steel Battalion,2002,Capcom,Simulation;Sci-Fi;Mech,Xbox,83,8.5,1 Player
1580,XGIII: Extreme G Racing,2001,Acclaim,Driving;Racing;Futuristic,GameCube,83,7.8,4-Jan
1581,FIFA 2001,2000,EACanada,Sports;Traditional;Soccer;Sim,PlayStation2,83,7.4,8-Jan
1582,Crimson Skies,2000,ZipperInteractive,Simulation;Flight;Sci-Fi;Futuristic Jet;Futuristic Jet;Combat,PC,83,8.4,8-Jan
1583,Octopath Traveler,2018,"SquareEnix,Acquire",General;Role-Playing;Japanese-Style,Switch,83,8.2,No Online Multiplayer
1584,Professor Layton and the Last Specter,2011,Level5,Miscellaneous;Puzzle;Puzzle;General;Puzzle;General,DS,83,8.4,No Online Multiplayer
1585,NBA 2K15,2014,VisualConcepts,Sports;Traditional;Team;Basketball;Sim,PlayStation4,83,6.9,Up to 10 
1586,Danganronpa 1-2 Reload,2017,SpikeChunsoft,Miscellaneous;Compilation,PlayStation4,83,8.3,No Online Multiplayer
1587,Nintendogs: Lab & Friends,2005,Nintendo,Simulation;Miscellaneous;Virtual Life;Virtual Life;Virtual;Pet,DS,83,7.7,1 Player
1588,Xenoblade Chronicles 2,2017,MonolithSoft,Role-Playing;Action RPG,Switch,83,8.5,No Online Multiplayer
1589,Need for Speed Most Wanted,2005,EACanada,Driving;Racing;GT / Street,Xbox,83,8.9,4  Online
1590,RACE 07: Official WTCC Game,2007,SimBin,Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,PC,83,8.9,24  Online
1591,2010 FIFA World Cup South Africa,2010,ElectronicArts,Sports;Traditional;Team;Soccer;Sim;Sim,Xbox360,83,8.2,not specified
1592,Gravity Rush,2012,SCEJapanStudio,Action;Action Adventure;Platformer;Platformer;Open-World;3D;3D,PlayStationVita,83,8.6,not specified
1593,Pokemon Omega Ruby,2014,GameFreak,Role-Playing;Console-style RPG;Japanese-Style;Trainer,3DS,83,8.6,Up to 4 
1594,Horizon Zero Dawn: The Frozen Wilds,2017,Guerrilla,Role-Playing;Action RPG,PlayStation4,83,8.1,No Online Multiplayer
1595,Ninja Gaiden: Dragon Sword,2008,TeamNinja,Action Adventure;Fantasy;General;Fantasy,DS,83,7.8,1 Player
1596,Rhythm Heaven Fever,2012,Nintendo,Action;Miscellaneous;Rhythm;Music;Music,Wii,83,8.8,not specified
1597,Ms. 'Splosion Man,2011,TwistedPixelGames,Action;General;Platformer;Platformer;2D;2D,Xbox360,83,6.8,1 Player
1598,SUPERHOT,2017,SUPERHOT,Action;Shooter;First-Person;Tactical,PlayStation4,83,7.1,not specified
1599,CastleStorm,2013,ZenStudios,Strategy;General,WiiU,83,7.8,not specified
1600,EverQuest II: Rise of Kunark,2007,SonyOnlineEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,83,8,1 Player
1601,Ninja Gaiden Sigma 2,2009,TeamNinja,Action Adventure;Fantasy;General;Fantasy,PlayStation3,83,7.7,2
1602,Dragon Quest Heroes: Rocket Slime,2006,"SquareEnix,TOSE",Action Adventure;Fantasy;General;Fantasy,DS,83,7.7,16-Jan
1603,Sleeping Dogs,2012,UnitedFrontGames,Action Adventure;Modern;Modern;Open-World,PlayStation3,83,7.7,No Online Multiplayer
1604,Contra 4,2007,WayForward,Action;Platformer;Platformer;2D;2D,DS,83,8.4,No Online Multiplayer
1605,Street Fighter: 30th Anniversary Collection,2018,Capcom,Miscellaneous;Compilation,PlayStation4,83,6.5,2
1606,Rhythm Heaven,2009,Nintendo,Action;Miscellaneous;Rhythm;Music;Music,DS,83,8.6,1 Player
1607,Path of Exile: The Fall of Oriath,2017,GrindingGearGames,Role-Playing;Action RPG,XboxOne,83,7.5,Up to 6 
1608,The Legend of Heroes: Trails in the Sky the 3rd,2017,Falcom,Role-Playing;Japanese-Style,PC,83,7.7,not specified
1609,Dark Age of Camelot: Catacombs,2004,MythicEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,83,7.9,Massively Multiplayer
1610,ABZU,2016,GiantSquid,Action Adventure;Adventure;General;3D;Third-Person,PC,83,6.9,No Online Multiplayer
1611,Nintendogs: Dalmatian & Friends,2006,Nintendo,Simulation;Miscellaneous;Virtual Life;Virtual Life;Virtual;Pet,DS,83,7.5,1 Player
1612,Little Nightmares,2017,TarsierStudios,Action Adventure;General;Linear,XboxOne,83,7.8,not specified
1613,Spore Creature Creator,2008,"Maxis,EARedwoodShores",Strategy;Breeding/Constructing;General;Breeding/Constructing,PC,83,8.1,not specified
1614,Final Fantasy V Advance,2006,TOSE,Role-Playing;Console-style RPG,GameBoyAdvance,83,7.3,1 Player
1615,Colin McRae Rally 2005,2004,Codemasters,Driving;Racing;Simulation;Rally / Offroad;Rally / Offroad;Automobile,PC,83,7.4,8  Online
1616,All-Star Baseball 2003,2002,Acclaim,Sports;Traditional;Baseball;Sim,GameCube,83,8,4-Jan
1617,F1 2001,2001,EASports,Driving;Racing;Formula One,Xbox,83,5.5,4-Jan
1618,Looney Tunes: Space Race,2000,MelbourneHouse,Driving;Racing;Kart,Dreamcast,83,8.3,not specified
1619,Luftrausers,2014,Vlambeer,Action;General;Shooter;Shoot-'Em-Up;Top-Down,PlayStationVita,83,7.3,not specified
1620,And Yet It Moves,2010,BrokenRules,Action;Platformer;Platformer;2D;2D,Wii,83,7.7,1 Player
1621,Tribes: Vengeance,2004,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,83,7.6,32  Online
1622,Hitman: Absolution,2012,IoInteractive,Action Adventure;Modern;General;Modern,PlayStation3,83,7.5,not specified
1623,Super Puzzle Fighter II Turbo HD Remix,2007,BackboneEntertainment,Miscellaneous;Puzzle;Puzzle;Puzzle;Matching;Matching,Xbox360,83,8,4-Jan
1624,Hitman: Blood Money,2006,IoInteractive,Action Adventure;Modern,PlayStation2,83,8.5,1 Player
1625,Kirby Mass Attack,2011,HALLabs,Action;Platformer;Platformer;2D;2D,DS,83,8.3,not specified
1626,Tales From The Borderlands: Episode 3 - Catch A Ride,2015,TelltaleGames,Adventure;General,PlayStation4,83,7.6,not specified
1627,L.A. Noire: The Complete Edition,2011,RockstarLeeds,Adventure;3D;Modern;Third-Person;Modern,PC,83,7.9,No Online Multiplayer
1628,Brutal Legend,2009,DoubleFineProductions,Action;Action Adventure;General;Fantasy;General;Fantasy;Open-World,PlayStation3,83,7.6,Up to 8 
1629,Dragon Quest Wars,2009,IntelligentSystems,Strategy;Turn-Based;Fantasy;General;Fantasy,DS,83,5.1,4-Jan
1630,VVVVVV,2011,TerryCavanagh,Action;Platformer;Platformer;2D;2D,3DS,83,8,1 Player
1631,GTR Evolution,2008,SimBin,Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,PC,83,8.2,not specified
1632,Marvel: Ultimate Alliance,2006,RavenSoftware,Role-Playing;Action RPG,Xbox,83,6.1,4  Online
1633,Life is Strange: Episode 5 - Polarized,2015,DONTNODEntertainment,Action Adventure;General,PC,83,8.4,not specified
1634,Bully: Scholarship Edition,2008,RockstarToronto,Action Adventure;Modern;Modern;Open-World,Wii,83,8.5,1 Player
1635,BROFORCE,2014,FreeLives,Platformer;2D;Action;Platformer;2D,PC,83,8,not specified
1636,Disgaea 2: Dark Hero Days,2009,NipponIchiSoftware,Strategy;Turn-Based;Fantasy;Fantasy;Tactics,PSP,83,7.2,No Online Multiplayer
1637,Splasher,2017,Splashteam,Action;Platformer;2D,Switch,83,8,No Online Multiplayer
1638,NCAA Football 09,2008,EATiburon,Sports;Traditional;Team;Football;Sim;Sim,Xbox360,83,7.7,12  Online
1639,Wipeout Fusion,2002,StudioLiverpool,Driving;Racing;Futuristic,PlayStation2,83,8.4,2-Jan
1640,Independence War 2: Edge of Chaos,2001,ParticleSystems,Simulation;Sci-Fi;Space;Large Spaceship;Large Spaceship;Civilian,PC,83,8.4,not specified
1641,Myst III: Exile,2001,PrestoStudios,Adventure;3D;First-Person;Fantasy;Fantasy,PC,83,8.2,1 Player
1642,Final Fantasy Tactics,1998,SquareSoft,Strategy;Turn-Based;Fantasy,PlayStation,83,8.3,1 Player
1643,Ace Combat 2,1997,Namco,Simulation;Flight;Modern Jet,PlayStation,83,8.5,1 Player
1644,Superbrothers: Sword & Sworcery EP,2012,CapyGames,Adventure;General;General,PC,83,6.4,No Online Multiplayer
1645,Sid Meier's Civilization IV: Colonization,2008,FiraxisGames,Strategy;Turn-Based;Historic;Historic;4X,PC,83,6.8,not specified
1646,Pro Evolution Soccer 2008,2008,Konami,Sports;Traditional;Team;Soccer;Sim;Sim,Wii,83,8.3,2  Online
1647,Steel Division: Normandy 44,2017,EugenSystems,Strategy;Real-Time;General;Tactics,PC,83,7.6,Online Multiplayer
1648,Hearts of Iron IV,2016,ParadoxDevelopmentStudio,Historic;Strategy;Real-Time;General,PC,83,7.1,not specified
1649,Nintendogs: Dachshund & Friends,2005,Nintendo,Simulation;Miscellaneous;Virtual Life;Virtual Life;Virtual;Pet,DS,83,8.2,1 Player
1650,Dark Souls II: Crown of the Sunken King,2014,NamcoBandaiGames,Role-Playing;Action RPG,PlayStation3,83,7.9,not specified
1651,Europa Universalis III,2007,ParadoxDevelopmentStudio,Strategy;General;General,PC,83,8.4,32  Online
1652,Rhythm Heaven Megamix,2016,Nintendo,Action;Rhythm;Music,3DS,83,8.3,not specified
1653,Duskers,2016,MisfitsAttic,Strategy;General,PC,83,7.1,No Online Multiplayer
1654,Severed,2016,DrinkBoxStudios,Action Adventure;General,WiiU,83,8.4,not specified
1655,Door Kickers,2014,KillHouseGames,Modern;Modern;Strategy;Real-Time;General;Tactics,PC,83,7.9,Online Multiplayer
1656,Counter-Strike: Global Offensive,2012,ValveSoftware,Action;Shooter;Shooter;First-Person;Modern;Tactical;Modern,PC,83,7.6,Up to 10 
1657,OlliOlli2: XL Edition,2016,roll7,Sports;Individual;Skate / Skateboard,XboxOne,83,5.8,not specified
1658,Frequency,2001,HarmonixMusicSystems,Miscellaneous;Rhythm;Music,PlayStation2,83,8.6,4-Jan
1659,Flipping Death,2018,Zoink!,Action;General,Switch,83,6.7,No Online Multiplayer
1660,MLB 07: The Show,2007,SCEA,Sports;Traditional;Baseball;Sim,PlayStation2,83,8.6,2  Online
1661,Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit Is Enough,2008,TelltaleGames,Miscellaneous;Adventure;General;Compilation,Wii,83,7.6,not specified
1662,Worms W.M.D,2017,Team17,Strategy;Turn-Based;Artillery,Switch,83,7.8,not specified
1663,Theatrhythm Final Fantasy: Curtain Call,2014,IndiesZero,Action;Miscellaneous;Rhythm;Music,3DS,83,8.3,2
1664,Boktai: The Sun Is in Your Hand,2003,KCEJ,Action Adventure;Fantasy,GameBoyAdvance,83,8.5,4-Jan
1665,Harvest Moon: Magical Melody,2006,Marvelous,Strategy;Breeding/Constructing,GameCube,83,8.8,4-Jan
1666,Pokemon Platinum Version,2009,GameFreak,Role-Playing;Console-style RPG;Console-style RPG;Trainer,DS,83,8.2,2
1667,Valkyria Chronicles II,2010,Sega,Role-Playing;Strategy;Action RPG;Turn-Based;Historic;Historic;Tactics,PSP,83,8.2,not specified
1668,Batman: The Telltale Series - Episode 2: Children of Arkham,2016,TelltaleGames,Adventure;Point-and-Click,XboxOne,83,6.6,not specified
1669,ZEN Pinball 2: The Walking Dead,2014,ZenStudios,Action;Miscellaneous;Parlor;Pinball,PlayStation4,83,6,not specified
1670,BlazBlue: Continuum Shift Extend,2012,ArcSystemWorks,Action;Fighting;Fighting;2D;2D,PlayStationVita,83,7.5,Up to 6 
1671,Odin Sphere,2007,VanillaWare,Role-Playing;Action RPG,PlayStation2,83,8.6,1 Player
1672,Tony Hawk's Underground 2 Remix,2005,ShabaGames,Sports;Alternative;Individual;Skateboarding;Skateboarding;Skate / Skateboard,PSP,83,8.1,4-Jan
1673,Maximo vs Army of Zin,2004,Capcom,Action;Platformer;3D,PlayStation2,83,8,1 Player
1674,Metal Arms: Glitch in the System,2003,Swingin'Ape,Action;Shooter;Third-Person;Sci-Fi,GameCube,83,8.5,4-Jan
1675,ESPN College Hoops,2003,VisualConcepts,Sports;Traditional;Basketball;Sim,PlayStation2,83,8.5,8-Jan
1676,MechWarrior 4: Mercenaries,2002,FASAStudio,Simulation;Sci-Fi;Vehicle;Mech;Mech;Combat,PC,83,8.9,16-Jan
1677,Breath of Fire IV,2000,Capcom,Role-Playing;Console-style RPG,PlayStation,83,8.9,1 Player
1678,Mario Kart 64,1997,Nintendo,Driving;Racing;Kart,Nintendo64,83,8.6,4-Jan
1679,"Invisible, Inc.",2015,KleiEntertainment,Sci-Fi;Strategy;Turn-Based;General;Tactics,PC,82,8,not specified
1680,WarioWare D.I.Y.,2010,IntelligentSystems,Miscellaneous;General;General,DS,82,8.4,not specified
1681,Wipeout Pulse,2008,StudioLiverpool,Driving;Racing;Arcade;Futuristic;Futuristic,PSP,82,8.6,8  Online
1682,Defense Grid: The Awakening,2009,HiddenPathEntertainment,Strategy;Real-Time;General;Sci-Fi;Defense,Xbox360,82,7.3,not specified
1683,Sega Genesis Collection,2006,Sega,Miscellaneous;Compilation;Compilation,PSP,82,7.9,2-Jan
1684,Gears of War: Ultimate Edition,2015,"SplashDamage,TheCoalition",Action;Shooter;Third-Person;Arcade,XboxOne,82,7.6,Up to 8 
1685,Tomb Raider: Legend,2006,CrystalDynamics,Action Adventure;Modern,Xbox,82,7.2,1 Player
1686,Tom Clancy's Rainbow Six Vegas 2,2008,UbisoftMontreal,Action;Shooter;Shooter;First-Person;Tactical;Modern;Modern,Xbox360,82,7.8,2-Jan
1687,The Book of Unwritten Tales,2011,KINGArt,Adventure;General;General,PC,82,8.3,not specified
1688,Ys: Memories of Celceta,2013,Falcom,Role-Playing;Action RPG;Action RPG,PlayStationVita,82,8.7,1 Player
1689,Laser League,2018,roll7,Sports;Futuristic;Team,PlayStation4,82,5.7,Up to 6 
1690,Super Hydorah,2017,Locomalito,Action;Shooter;Shoot-'Em-Up;Horizontal,XboxOne,82,7.5,not specified
1691,BioShock 2: Minerva's Den,2010,2KMarin,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,82,8.7,not specified
1692,KORG DS-10 Synthesizer,2008,AQInteractive,Miscellaneous;Music Maker;Music Maker;Application,DS,82,8.2,not specified
1693,Super Robot Taisen: Original Generation 2,2006,Banpresto,Strategy;Turn-Based;Sci-Fi,GameBoyAdvance,82,8.1,1 Player
1694,Watch Dogs 2,2016,UbisoftMontreal,Action Adventure;Open-World,PlayStation4,82,7.8,Up to 4 
1695,Hand of Fate 2,2017,DefiantDevelopment,Miscellaneous;Board / Card Game,PlayStation4,82,7.7,not specified
1696,Dance Central,2010,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Dancing;Dancing,Xbox360,82,7.6,not specified
1697,Capitalism II,2001,EnlightSoftware,Strategy;Tycoon;Management;Tycoon;Business / Tycoon,PC,82,8.8,not specified
1698,Rally Trophy,2001,Bugbear,Driving;Racing;Simulation;Rally / Offroad;Rally / Offroad;Automobile,PC,82,8.6,6-Jan
1699,GT Advance Championship Racing,2001,MTO,Driving;Racing;GT / Street,GameBoyAdvance,82,tbd,2-Jan
1700,Ridge Racer 64,2000,Nintendo,Driving;Racing;Arcade,Nintendo64,82,8.3,4-Jan
1701,Pokemon Alpha Sapphire,2014,GameFreak,Role-Playing;Console-style RPG;Japanese-Style;Trainer,3DS,82,8.7,Up to 4 
1702,Stealth Inc 2: A Game of Clones,2015,CurveDigital,Action;Platformer;2D,XboxOne,82,6.9,not specified
1703,Dark Souls III: The Ringed City,2017,FromSoftware,Role-Playing;Action RPG,PC,82,8.3,not specified
1704,Dawn of Discovery,2009,"BlueByte,RelatedDesigns",Strategy;Real-Time;Historic;General;Historic,PC,82,8.8,4  Online
1705,Pinball FX3,2017,ZenStudios,Action;Pinball,Switch,82,7.3,not specified
1706,Hot Shots Golf: Open Tee 2,2008,ClapHanz,Sports;Traditional;Individual;Golf;Arcade;Arcade,PSP,82,8.7,8-Jan
1707,SingStar,2008,SCEELondonStudio,Action;Miscellaneous;Rhythm;Music;Music,PlayStation3,82,5.9,8-Jan
1708,L.A. Noire: The VR Case Files,2017,RockstarGames,Adventure;3D;First-Person,PC,82,6.6,not specified
1709,City of Villains,2005,ParagonStudios,Role-Playing;Massively Multiplayer Online;Modern;Modern,PC,82,7.9,Massively Multiplayer
1710,Cave Story 3D,2011,Nicalis,Action;Platformer;Platformer;2D;2D,3DS,82,7.6,No Online Multiplayer
1711,The Wolf Among Us: Episode 2 - Smoke and Mirrors,2014,TelltaleGames,Action Adventure;Adventure;General;Fantasy;Point-and-Click,PlayStation3,82,8.2,not specified
1712,Kentucky Route Zero - Act II,2013,CardboardComputer,Adventure;General;General,PC,82,8.1,not specified
1713,Minecraft: Xbox 360 Edition,2012,"4JStudios,MojangAB",Fantasy;Action Adventure;Adventure;3D;Sandbox;First-Person;Fantasy,Xbox360,82,7.2,Up to 8 
1714,Dead Space: Extraction,2009,"EurocomEntertainmentSoftware,VisceralGames,Eurocom",Action;Action Adventure;Horror;Horror;Shooter;Light Gun,Wii,82,8,not specified
1715,Football Manager 2018,2017,SportsInteractive,Sports;Team;Football;Sim,PC,82,5.5,not specified
1716,Resident Evil: Revelations,2012,Capcom,Action Adventure;Horror;Horror;Survival,3DS,82,8.4,2
1717,You Don't Know Jack,2011,"Jellyvision,IronGalaxyStudios",Miscellaneous;Trivia / Game Show;Trivia / Game Show,Xbox360,82,7.9,4  Online
1718,Fortnite,2018,EpicGames,Action;Shooter;Third-Person;Tactical,Switch,83,6.6,Massively Multiplayer
1719,Pokemon Ruby Version,2003,GameFreak,Role-Playing;Console-style RPG,GameBoyAdvance,82,8.5,4-Jan
1720,MVP Baseball 2003,2003,EASports,Sports;Traditional;Baseball;Sim,Xbox,82,8.5,2-Jan
1721,NHL Hitz 20-03,2002,Midway,Sports;Traditional;Ice Hockey;Arcade,GameCube,82,8.4,4-Jan
1722,Gitaroo Man,2002,Koei/Inis,Miscellaneous;Rhythm;Music,PlayStation2,82,8.7,4-Jan
1723,Theme Park Roller Coaster,2000,BullfrogProductions,Strategy;Tycoon,PlayStation2,82,7.9,1 Player
1724,Dave Mirra Freestyle BMX,2000,"Z-Axis,Ltd.",Sports;Alternative;Biking,PlayStation,82,7.6,2-Jan
1725,Karaoke Revolution Volume 3,2004,HarmonixMusicSystems,Miscellaneous;Rhythm;Music,PlayStation2,82,7.8,8-Jan
1726,Professor Layton and the Miracle Mask,2012,Level5,Puzzle;Miscellaneous;Puzzle;General;Puzzle;General,3DS,82,8.1,No Online Multiplayer
1727,The Pinball Arcade,2013,FarsightStudios,Action;Miscellaneous;Parlor;Pinball;Pinball,PlayStation4,82,6.8,No Online Multiplayer
1728,Monster Hunter 3 Ultimate,2013,Capcom,Role-Playing;Action Adventure;Fantasy;Action RPG,WiiU,82,8.2,No Online Multiplayer
1729,Borderlands: The Handsome Collection,2015,"GearboxSoftware,IronGalaxyStudios",Miscellaneous;Compilation,PlayStation4,82,7.9,Up to 4 
1730,Forza Horizon 2: Storm Island,2014,PlaygroundGames,Driving;GT / Street;Racing;Simulation;Automobile,XboxOne,82,7.4,not specified
1731,Super Stardust Delta,2012,Housemarque,General;Action;Shooter;Shooter;Static;Static;Shoot-'Em-Up;Top-Down,PlayStationVita,82,8,not specified
1732,Act of War: Direct Action,2005,EugenSystems,Strategy;Real-Time;Military;General;Military,PC,82,8.4,8  Online
1733,Madden NFL 18,2017,ElectronicArts,Sports;Team;Football;Sim,PlayStation4,82,3.7,Up to 6 
1734,RiME,2017,TequilaWorks,Action;Adventure;General;3D;Third-Person,XboxOne,82,6.9,not specified
1735,Tekken 7,2017,BandaiNamcoGames,Action;Fighting;3D,PC,82,6.7,Online Multiplayer
1736,Runbow,2015,13AMGames,Action;General;Platformer;2D,WiiU,82,7.8,not specified
1737,Sokobond,2013,AlanHazelden&HarryLee,Miscellaneous;Puzzle;Action;Puzzle;Action,PC,82,7.7,1 Player
1738,Quell Memento,2013,FallenTreeGames,Miscellaneous;Puzzle;Puzzle;Logic;Logic,PlayStationVita,82,7.6,not specified
1739,MotoHeroz,2011,RedLynx,Driving;Racing;Arcade;Arcade;Automobile,Wii,82,7.3,4-Jan
1740,Mario vs. Donkey Kong: Minis March Again!,2009,Nintendo,Action;Platformer;Platformer;2D;2D,DS,82,7.8,1 Player
1741,Zone of the Enders: The 2nd Runner,2003,KCEJ,Simulation;Sci-Fi;Mech,PlayStation2,82,9,2-Jan
1742,Viva Pinata: Trouble in Paradise,2008,RareLtd.,Simulation;Miscellaneous;Virtual Life;Virtual;Virtual Life,Xbox360,82,7.9,4  Online
1743,Sam & Max Episode 105: Reality 2.0,2007,TelltaleGames,Adventure;General;3D;Point-and-Click;Third-Person,PC,82,8.4,No Online Multiplayer
1744,Bejeweled 3,2010,PopCap,Miscellaneous;Puzzle;Puzzle;Puzzle;Matching;Matching,PC,82,8.1,not specified
1745,Dangerous Waters,2005,Sonalysts,Simulation;Submarine;Marine;Combat,PC,82,8.8,32  Online
1746,LEGO The Lord of the Rings,2012,TTGames,Action Adventure;Adventure;General;General;Linear,PlayStation3,82,8.3,No Online Multiplayer
1747,Iron Brigade,2011,DoubleFineProductions,Action;Strategy;General;Real-Time;General;Defense,Xbox360,82,7.8,not specified
1748,Peter Jackson's King Kong: The Official Game of the Movie,2005,UbisoftMontpellier,Action Adventure;Modern,PlayStation2,82,8.3,1 Player
1749,Asheron's Call 2: Fallen Kings,2002,TurbineInc.,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,82,7.9,Massively Multiplayer
1750,Super Monkey Ball Jr.,2002,RealismLtd,Miscellaneous;Puzzle;General,GameBoyAdvance,82,8.6,4-Jan
1751,WWE SmackDown! Shut Your Mouth,2002,Yuke's,Action;Fighting;Wrestling,PlayStation2,82,8.6,6-Jan
1752,Gemini Rue,2011,"WadjetEyeGames,JoshuaNuernberger",Adventure;General;Third-Person;General;Point-and-Click;Sci-Fi,PC,82,8.4,not specified
1753,Sonic CD,2011,Sega,Action;Platformer;Platformer;2D;2D,Xbox360,82,8.5,not specified
1754,Pro Evolution Soccer 2015,2014,Konami,Action;General;Sports;Traditional;Team;Soccer;Sim,PlayStation4,82,7.1,Up to 22 
1755,Dyad,2012,RightSquareBracketLeftSquareBracketGames,Driving;Racing;Arcade;Futuristic;Futuristic,PlayStation3,82,6,not specified
1756,Antichamber,2013,Demruth,Miscellaneous;Puzzle;General;Puzzle;General,PC,82,8.3,not specified
1757,Sonic & All-Stars Racing Transformed,2012,SumoDigital,Driving;Racing;Arcade;Kart;Other;Kart,PlayStation3,82,8.2,Up to 10 
1758,Neverwinter Nights 2,2006,ObsidianEntertainment,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,82,6.6,Online Multiplayer
1759,Mega Man Powered Up,2006,Capcom,Action;Platformer;Platformer;2D;2D,PSP,82,7.6,24  Online
1760,Darkstalkers Resurrection,2013,IronGalaxyStudios,Action;Miscellaneous;Fighting;Compilation;2D,Xbox360,82,6.4,8  Online
1761,Dragon Age: Origins - Awakening,2010,BioWare,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,82,7.8,No Online Multiplayer
1762,Danganronpa: Trigger Happy Havoc,2016,SpikeChunsoft,Adventure;Visual Novel,PC,82,8.5,No Online Multiplayer
1763,Hearthstone: Blackrock Mountain,2015,BlizzardEntertainment,Strategy;Turn-Based;Card Battle,PC,82,6,not specified
1764,Rome: Total War Barbarian Invasion,2005,CreativeAssembly,Strategy;Real-Time;Historic;General,PC,82,8.4,8  Online
1765,Gradius V,2004,Treasure,Action;Shooter;Scrolling,PlayStation2,82,8.6,2-Jan
1766,NCAA Football 12,2011,EASports,Sports;Traditional;Team;Football;Sim;Sim,Xbox360,82,6.5,not specified
1767,The Darkness,2007,Starbreeze,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,Xbox360,82,8.1,8  Online
1768,I Expect You To Die,2016,SchellGames,Adventure;3D;First-Person,PlayStation4,82,7.8,not specified
1769,Etrian Odyssey 2 Untold: The Fafnir Knight,2015,Atlus,Role-Playing;Japanese-Style;Western-Style,3DS,82,8.1,No Online Multiplayer
1770,Disgaea DS,2008,NipponIchiSoftware,Strategy;Turn-Based;Fantasy;Fantasy;Tactics,DS,82,7.3,2  Online
1771,Lunar Knights,2007,KojimaProductions,Role-Playing;Action RPG;Action RPG,DS,82,7.8,1 Player
1772,Hacknet,2015,Orann,General;Miscellaneous;General,PC,82,7.9,No Online Multiplayer
1773,The Walking Dead: Season Two Episode 3 - In Harm's Way,2014,TelltaleGames,General;Action;Adventure;General;Point-and-Click,Xbox360,82,8.7,not specified
1774,Test Drive Unlimited,2006,EdenStudios,Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,Xbox360,82,8,8  Online
1775,Tales of Monkey Island Chapter 3: Lair of the Leviathan,2009,TelltaleGames,Adventure;General;3D;Fantasy;Third-Person;Fantasy,PC,82,7.9,No Online Multiplayer
1776,The Walking Dead: A Telltale Games Series - The Complete First Season,2013,TelltaleGames,Miscellaneous;Adventure;Compilation;Compilation;Point-and-Click,PlayStationVita,82,8.6,not specified
1777,Blur,2010,BizarreCreations,Driving;Racing;Arcade;Arcade;Automobile,Xbox360,82,8.3,Up to 20 
1778,FIFA 15,2014,EASports,Sports;Traditional;Team;Soccer;Sim,XboxOne,82,5.4,not specified
1779,Neverwinter Nights 2: Mask of The Betrayer,2007,ObsidianEntertainment,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,82,8.5,4  Online
1780,Sins of a Solar Empire: Rebellion,2012,IroncladGames,Strategy;General;General,PC,82,7.9,Online Multiplayer
1781,Broken Sword: The Sleeping Dragon,2003,RevolutionSoftware,Adventure;3D;Modern;Third-Person;Modern,PC,82,7.5,No Online Multiplayer
1782,Age of Wonders: Shadow Magic,2003,TriumphStudios,Strategy;Turn-Based;Fantasy;General;Fantasy,PC,82,8.5,8-Jan
1783,ATV Offroad Fury 2,2002,RainbowStudios,Driving;Racing;Rally / Offroad,PlayStation2,82,8.7,4-Jan
1784,Mega Man Zero,2002,Inti,Action;Platformer;2D,GameBoyAdvance,82,8.9,1 Player
1785,SOCOM: U.S. Navy SEALs,2002,ZipperInteractive,Action;Shooter;Third-Person;Tactical;Modern,PlayStation2,82,7.9,16-Jan
1786,Tom Clancy's Ghost Recon: Desert Siege,2002,RedStormEntertainment,Action;Shooter;Shooter;First-Person;Tactical;Modern;Modern,PC,82,7.6,not specified
1787,Warlords Battlecry II,2002,StrategicStudiesGroup,Strategy;Real-Time;Fantasy;General;Fantasy,PC,82,8.4,not specified
1788,Ring of Red,2001,Konami,Strategy;Real-Time;Sci-Fi,PlayStation2,82,8.1,1 Player
1789,Football Manager Live,2009,SportsInteractive,Sports;Traditional;Team;Soccer;Management;Management,PC,82,3.1,not specified
1790,The Walking Dead: Season Two Episode 2 - A House Divided,2014,TelltaleGames,General;Action;Adventure;General;Point-and-Click,PlayStation3,82,8.5,not specified
1791,The Talos Principle: Road To Gehenna,2015,Croteam,Adventure;3D;First-Person,PC,82,7.7,not specified
1792,Stellaris - Utopia,2017,ParadoxDevelopmentStudio,Strategy;Real-Time;General,PC,82,8.3,not specified
1793,Aquaria,2007,BitBlot,Action Adventure;Fantasy;General;Fantasy,PC,82,8.2,not specified
