,Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
162,Thief: The Dark Project,1998,LookingGlassStudios,Action Adventure;Fantasy;General;Fantasy,PC,92,9,1 Player
163,Fire Emblem: Awakening,2013,IntelligentSystems,Strategy;Turn-Based;Fantasy;Fantasy;Tactics,3DS,92,9.1,No Online Multiplayer
164,Age of Empires II: The Age of Kings,1999,EnsembleStudios,Strategy;Real-Time;Historic;Historic;Command,PC,92,9,No Online Multiplayer
165,Final Fantasy X,2001,SquareSoft,Role-Playing;Console-style RPG,PlayStation2,92,8.8,1 Player
166,The Walking Dead: A Telltale Games Series,2012,TelltaleGames,Miscellaneous;Adventure;Compilation;Compilation;Point-and-Click,Xbox360,92,8.6,not specified
167,Unreal Tournament (1999),1999,EpicGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,92,9,Jan-32
168,Sid Meier's Alpha Centauri,1999,FiraxisGames,Strategy;Turn-Based;Sci-Fi;Sci-Fi;4X,PC,92,9,not specified
169,Wave Race 64,1996,Nintendo,Driving;Racing;Snow / Water,Nintendo64,92,8.2,2-Jan
170,Galactic Civilizations II: Twilight of the Arnor,2008,Stardock,Strategy;Turn-Based;Sci-Fi;Sci-Fi;4X,PC,92,8.4,1 Player
171,Super Smash Bros. for Wii U,2014,BandaiNamcoGames,Action;Fighting;Fighting;3D;2D;2D;3D,WiiU,92,9,Up to 4 
172,Into the Breach,2018,SubsetGames,Strategy;Turn-Based;Tactics,Switch,92,8.1,No Online Multiplayer
173,Final Fantasy VII,1997,SquareSoft,Role-Playing;Console-style RPG,PlayStation,92,9.2,1 Player
174,Chrono Trigger,2008,TOSE,Role-Playing;Console-style RPG;Console-style RPG;Japanese-Style,DS,92,8.9,No Online Multiplayer
175,Bayonetta 2,2018,Nintendo,Action Adventure;Linear,Switch,92,8.4,No Online Multiplayer
176,Xenoblade Chronicles,2012,MonolithSoft,Role-Playing;Action RPG;Console-style RPG;Action RPG,Wii,92,9,No Online Multiplayer
177,Conker's Bad Fur Day,2001,RareLtd.,Action;Platformer;3D,Nintendo64,92,9.1,not specified
178,Medal of Honor,1999,DreamworksInteractive,Action;Shooter;First-Person;Historic,PlayStation,92,8.7,2-Jan
179,PaRappa the Rapper,1997,NanaOn-Sha,Miscellaneous;Rhythm;Music,PlayStation,92,7.4,1 Player
180,Mario Kart 8 Deluxe,2017,Nintendo,Other;Racing;Arcade;Automobile,Switch,92,8.6,Up to 12 
181,The ICO & Shadow of the Colossus Collection,2011,BluepointGames,Miscellaneous;Action Adventure;Fantasy;Compilation;Compilation,PlayStation3,92,8.6,1 Player
182,Rayman Origins,2011,UBlartMontpellier,Action;Action Adventure;Platformer;Fantasy;Platformer;2D;2D,Wii,92,8.5,4-Jan
183,Metroid Prime 2: Echoes,2004,RetroStudios,Action;Shooter;First-Person;Sci-Fi,GameCube,92,8.8,4-Jan
184,Out of the Park Baseball 17,2016,OutOfTheParkDevelopments,Sports;Baseball;Sim;Team,PC,92,3.4,not specified
185,Metroid Fusion,2002,Nintendo,Action Adventure;Sci-Fi,GameBoyAdvance,92,9,1 Player
186,The Witcher 3: Wild Hunt - Blood and Wine,2016,CDProjektRedStudio,Role-Playing;Action RPG,PC,92,9.2,not specified
187,Final Fantasy VI Advance,2007,TOSE,Role-Playing;Console-style RPG,GameBoyAdvance,92,8.6,2-Jan
188,Rayman Legends,2013,UbisoftMontpellier,Action;Platformer;Platformer;2D;2D,WiiU,92,8.7,No Online Multiplayer
189,Tiger Woods PGA Tour 2003,2002,Headgate,Sports;Traditional;Individual;Golf;Sim;Sim,PC,92,5,8-Jan
190,Madden NFL 2005,2004,EATiburon,Sports;Traditional;Football;Sim,Xbox,91,7.7,2  Online
191,Dark Souls II,2014,FromSoftware,Action RPG;Role-Playing;Action RPG,Xbox360,91,7.9,Up to 4 
192,Dishonored,2012,ArkaneStudios,Action Adventure;Modern;General;Modern,PC,91,8.4,No Online Multiplayer
193,ESPN NFL Football,2003,VisualConcepts,Sports;Traditional;Football;Sim,PlayStation2,91,8.5,16-Jan
194,Medal of Honor: Allied Assault,2002,2015,Action;Shooter;Shooter;First-Person;Historic;Historic;Arcade,PC,91,8.6,not specified
195,Myth: The Fallen Lords,1997,"BungieSoftware,Bungie",Strategy;Real-Time;Fantasy;General;Fantasy,PC,91,8.7,16-Jan
196,LittleBigPlanet 2,2011,MediaMolecule,Action;Platformer;Platformer;3D;2D;3D,PlayStation3,91,8.4,4  Online
197,Guitar Hero,2005,HarmonixMusicSystems,Miscellaneous;Rhythm;Music,PlayStation2,91,8.7,2-Jan
198,World of Warcraft: Wrath of the Lich King,2008,BlizzardEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,91,7.6,Massively Multiplayer
199,Metroid Prime Trilogy,2009,RetroStudios,Action;Miscellaneous;Shooter;Compilation;Compilation;First-Person;Sci-Fi,Wii,91,9.1,No Online Multiplayer
200,Overwatch,2016,BlizzardEntertainment,General;Action;Shooter;First-Person;Tactical,PC,91,6.7,Up to 12 
201,F1 Challenge '99-'02,2003,ElectronicArts,Driving;Racing;Formula One;Formula One,PC,91,8,8-Jan
202,Madden NFL 2001,2000,EASports,Sports;Traditional;Football;Sim,PlayStation2,91,7.8,8-Jan
203,Baldur's Gate,1998,BioWare,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,91,8.9,Online Multiplayer
204,Klonoa 2: Lunatea's Veil,2001,Namco,Action;Platformer;3D,PlayStation2,91,9,1 Player
205,IL-2 Sturmovik,2001,"1C,1CCompany",Simulation;Flight;WWII;WWII;Combat,PC,91,8.7,Jan-32
206,Mario Tennis,2000,CamelotSoftwarePlanning,Sports;Traditional;Tennis,Nintendo64,91,8.9,not specified
207,FreeSpace 2,1999,VolitionInc.,Simulation;Sci-Fi;Space;Small Spaceship;Small Spaceship;Combat,PC,91,8.8,8-Jan
208,Colony Wars,1997,Psygnosis,Simulation;Sci-Fi;Small Spaceship,PlayStation,91,8,1 Player
209,Ratchet & Clank: Up Your Arsenal,2004,InsomniacGames,Action;Platformer;3D,PlayStation2,91,9.2,8  Online
210,Resident Evil,2002,Capcom,Action Adventure;Horror,GameCube,91,9.3,1 Player
211,FIFA Soccer 10,2009,EASports,Sports;Traditional;Team;Soccer;Sim;Sim,PlayStation3,91,7.5,not specified
212,Assassin's Creed II,2009,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,PlayStation3,91,8.6,No Online Multiplayer
213,Metal Gear Solid 3: Snake Eater,2004,KCEJ,Action Adventure;Modern,PlayStation2,91,9,1 Player
214,Twisted Metal: Black,2001,IncognitoInc.,Driving;Car Combat,PlayStation2,91,8.5,4-Jan
215,Spyro: Year of the Dragon,2000,InsomniacGames,Action;Platformer;3D,PlayStation,91,8.9,1 Player
216,Tomb Raider,1996,CoreDesignLtd.,Action Adventure;Modern,PlayStation,91,8.5,1 Player
217,Resident Evil 4: Wii Edition,2007,Capcom,Action Adventure;Horror;Horror;Survival,Wii,91,9,No Online Multiplayer
218,Shadow of the Colossus,2005,SCEJapanStudio,Action Adventure;Fantasy,PlayStation2,91,9.1,1 Player
219,Forza Horizon 3,2016,PlaygroundGames,Racing;Simulation;Automobile,XboxOne,91,8,Up to 12 
